Question,Answer A,Answer B,Answer C,Answer D,Answer E,Correct,Explaination,Image
A 34-year-old female presents to the ED with increasing low abdominal pain. She was seen by a colleague a  week ago and diagnosed with an early ectopic pregnancy in her left fallopian tube. Her OB was consulted at that time and the patient was started on methotrexate therapy. What is the most likely cause of her abdominal  pain? ,Treatment failure and increasing size of the ectopic pregnancy ,Tubal rupture ,Appendicitis ,“Separation pain” from methotrexate use ,Pelvic inflammatory disease (PID) ,D,"A large percentage of women, estimated to be from 30% to 60%, experience abdominal pain  approximately 1 week after starting methotrexate for ectopic pregnancy. This is known as separation pain as it  is thought to result from tubal distension as a result of tubal abortion or hematoma formation. However, all  women with a history of methotrexate treatment for ectopic pregnancy who present with abdominal pain  merit further investigation by ultrasonography to explore the possibility of tubal rupture. Interestingly, the  size of the ectopic mass may actually increase before involution, but this finding has not been shown to be  associated with treatment failure. However, if patients have an increase in the amount of pelvic free fluid or a decrease in their hemoglobin, a presumptive diagnosis of tubal rupture should be made and an OB should be urgently consulted. Although it is a risk factor for ectopic pregnancy, active PID at the same time as pregnancy (ectopic or intrauterine) is extremely rare. ",
A 28-year-old female presents with fever and painful oral lesions for 2 days as shown in the image. Which of  the following is the most likely cause? ,HSV-1 ,HSV-2 ,Epstein–Barr virus ,Coxsackievirus ,Group A streptococcus ,D,"The patient has vesicular lesions on the soft palate consistent with herpangina, caused by coxsackievirus. In children, this often presents as hand–foot–mouth disease. Management is supportive, with  special emphasis on pain control, as lesions are extremely painful and can limit oral intake. HSV-1 can cause  herpetic gingivostomatitis, which causes lesions on the hard palate and gums and can be treated with  valacyclovir. HSV-2 usually causes genital herpes rather than oral lesions. Epstein–Barr virus causes infectious  mononucleosis, resulting in pharyngitis usually without discrete lesions. Group A streptococcus causes strep  throat, a pharyngitis with exudate on the tonsils but without discrete oral ulcers. (Figure from Stedman’s  Medical Dictionary. 28th edition. Philadelphia, PA: Wolters Kluwer; 2005.) ",t1-12.png
Which of the following is the optimal vascular access for adult trauma patients? ,Single 14-g peripheral IV ,Double 16-g peripheral IVs ,Double 18-g peripheral IVs ,Single triple-lumen catheter ,Intraosseous catheter ,B,"Trauma patients require rapid access with large-bore peripheral IVs to optimize fluid administration. Two 14-g or 16-g IVs are ideal. Rate of fluid flow is inversely proportional to the length of  1 the vessel and directly proportional to the radius of the vessel to the fourth power. Therefore, short, wide bore catheters are preferred over long, narrow-bore catheters. A single IV is not adequate, given the risk of  expulsion from patient movement during trauma resuscitation. Triple-lumen catheters, though generally  large-bore lines, are limited in their fluid passage rates by their length, which can be up to 10 times that of a  peripheral line. Cordis catheters are shorter than triple-lumens, and they are large-bore (8.5 Fr). Thus they  can achieve significant infusion rates with a pressure bag or pump and are often included in trauma  resuscitations when massive transfusion or fluids are needed. Intraosseous catheters provide ready vascular  access in pediatric patients but are not preferred in the adult trauma patient due to limited flow rates,  difficulty of placement, and potential complications. ",
A 34-year-old male presents after a high-speed motor vehicle collision with shortness of breath. A large flail  segment is noted on his right lateral chest. Which of the following is the most appropriate therapy at this  time? ,Place the patient in the right lateral decubitus position ,Place the patient in the left lateral decubitus position ,Place a heavy weight on the flail segment ,Administer 100% oxygen by nonrebreather mask ,Perform rapid sequence intubation ,D,"Flail chest occurs during blunt thoracic trauma when three or more ribs are each fractured in two  places, causing a discrete chest wall segment that is unattached to the rest of the chest wall. Paradoxical  motion of the flail segment is characteristic: The flail segment moves inward during inspiration and outward  during expiration. Severity of the flail chest injury is due to the underlying pulmonary contusion that results  1 from the blunt trauma. Diagnosis is made by physical examination and confirmed by either chest x-ray or CT.  Management is directed at treating the underlying pulmonary contusion and should first involve  administration of 100% oxygen to assess for the presence of severe pulmonary shunting. If the patient does  not respond to noninvasive oxygen and is persistently hypoxemic, then endotracheal intubation should be  performed. Hemothorax or pneumothorax may also be present and requires tube thoracostomy. Decubitus  positioning is unlikely to be helpful in treating the flail chest and may exacerbate atelectasis in the contused  lung region. A heavy weight placed on the flail segment is also likely to exacerbate the pulmonary contusion  with little benefit.  from the blunt trauma. Diagnosis is made by physical examination and confirmed by either chest x-ray or CT.  Management is directed at treating the underlying pulmonary contusion and should first involve  administration of 100% oxygen to assess for the presence of severe pulmonary shunting. If the patient does  not respond to noninvasive oxygen and is persistently hypoxemic, then endotracheal intubation should be  performed. Hemothorax or pneumothorax may also be present and requires tube thoracostomy. Decubitus  positioning is unlikely to be helpful in treating the flail chest and may exacerbate atelectasis in the contused  lung region. A heavy weight placed on the flail segment is also likely to exacerbate the pulmonary contusion  with little benefit",
A 68-year-old female presents with a 2-day history of left lower quadrant pain. CT reveals diverticulitis.  Which of the following is true?,"The recurrence rate of diverticulitis after a single, uncomplicated episode is 75%. ","Avoiding nuts, seeds, and corn has not been shown to decrease recurrence. ",Patients younger than 40 years with diverticulitis should have resection of the diseased segment of  colon. ,She should be admitted for colonoscopy to exclude colon cancer. ,The mortality rate of hospitalized patients with acute diverticulitis is 35%. ,B,"The recurrence rate after a single episode of uncomplicated diverticulitis is 20% to 30%. Furthermore, a high-fiber diet may help prevent further episodes. There is no evidence that avoiding nuts,  corn kernels, popcorn, or seeds is associated with an increased rate of recurrence, despite the fact that  patients are commonly advised against ingesting these substances. Young patients with diverticulitis are a  special population because they tend to have more aggressive disease and the recurrence rate of diverticulitis  is higher. Although resection of the disease segment remains elective, some authors recommend resection in  all young patients due to their higher risk of recurrence. CT is the study of choice in the ED because it  reliably visualizes the site of inflammation and is very useful for detecting various complications (e.g.,  abscesses, perforation, fistulas). Colonoscopy is useful to exclude colon cancer but is deferred until the acute  illness is treated. The mortality rate of hospitalized patients with diverticulitis is 1% to 6% for those requiring  only medical management and 12% to 18% for those requiring surgery. ",
Which of the following is true regarding botulism? ,It is not contagious. ,It usually causes an ascending paralysis. ,It usually spares the cranial nerves. ,It stimulates presynaptic acetylcholine release. ,Broad-spectrum antibiotic therapy significantly improves survival. ,A,"Botulism occurs as a result of the toxin released by the anaerobic bacillus Clostridium botulinum. Botulinum toxin is considered the most potent poison known to humans, but it is not transmitted from person  to person. Clinical botulism manifests as a descending paralysis, usually involving the cranial nerves. The mechanism is irreversible inhibition of presynaptic acetylcholine release.  Antibiotics have little effect on treatment of botulism. Treatment involves supportive care, mechanical  ventilation, and antitoxin therapy. ",
Which of the following has the highest sensitivity for ruling out testicular torsion? ,Normal cremasteric reflex ,Presence of Prehn sign (relief of scrotal pain upon elevating the scrotum) C. Normal urinalysis ,Normal urinalysis,Absence of fever ,Absence of vomiting ,A,"Patients with testicular torsion will almost never exhibit a normal cremasteric reflex on the  affected side. The sensitivity of this sign is extremely high (>95%). Prehn sign refers to relief of scrotal pain  on elevation of the scrotum. Prehn sign was previously thought to distinguish epididymitis from testicular  torsion but has been found to be inaccurate in this regard. Although urinalysis is usually normal, up to one third of patients with torsion may have detectable urinary leukocytes. Fever is present in 20% and vomiting  in 30% of cases, so absence of either should not be used to rule out the diagnosis. affected side. The sensitivity of this sign is extremely high (>95%). Prehn sign refers to relief of scrotal pain  on elevation of the scrotum. Prehn sign was previously thought to distinguish epididymitis from testicular  torsion but has been found to be inaccurate in this regard. Although urinalysis is usually normal, up to one third of patients with torsion may have detectable urinary leukocytes. Fever is present in 20% and vomiting  in 30% of cases, so absence of either should not be used to rule out the diagnosis. ",
A 61-year-old male presents to the ED with a chief complaint of chest pain. His EKG is shown in the image.  Which of the following is the most likely explanation? ,Ectopic atrial rhythm in the low atria ,Limb lead reversal ,Acute ischemia ,Complete heart block ,Undiagnosed tetralogy of Fallot ,B,"The patient’s EKG appears to demonstrate an ectopic atrial rhythm with inverted P waves in lead  II. However, the QRS axis is also flipped 180 degrees from normal. These findings indicate limb lead reversal. Specifically, the left leg and the right arm have been reversed. As a result, lead II becomes inverted, leads I  and III become inverted and switch places, while leads aVR and aVF simply switch places. The only limb lead  that is unaffected is aVL, which remains unchanged. ",t1-18.png
A 29-year-old female with a history of gout presents with a diffuse rash consisting of erythematous target  lesions as well as oral sores for several days. She recently started a course of medication for a  urinary tract infection the week prior but cannot remember the name. Which of the following is the most  likely cause? ,Ciprofloxacin ,Cefdinir ,Cephalexin ,Trimethoprim–sulfamethoxazole ,Macrodantin ,D,"The patient likely has Stevens–Johnson syndrome (SJS), most commonly caused by certain drug  exposures. Sulfa drugs, allopurinol, carbamazepine, and phenytoin are usually implicated, though many other  drugs have been known to cause SJS. SJS exists on the same spectrum as toxic epidermal necrolysis and can  exhibit multiorgan involvement, though most cases are restricted to the skin and mucous membranes.  Diagnosis is clinical, and treatment revolves around good supportive care, especially adequate IV hydration.  Corticosteroid use is controversial. (Figure courtesy of Robert Hendrickson, MD. Reprinted from Hendrickson  R. Greenberg’s Text-Atlas of Emergency Medicine. Lippincott Williams & Wilkins; 2004:51, with permission.)",t1-19.png
Which of the following is true regarding the treatment of a peritonsillar abscess (PTA)? ,Incision and drainage is superior to needle aspiration. ,Recurrent PTAs typically occur >1 year after the initial episode. ,Antibiotic therapy is as effective as surgical incision and drainage. ,"Antibiotic coverage directed at Strep, Staph, and anaerobic species is necessary. ","Clinically, it is easy to distinguish a PTA from peritonsillar cellulitis. ",D,"aureus, and respiratory anaerobes are common causes of PTAs.  Thus, empiric antibiotics directed at these organisms are needed. In many communities, MRSA is prevalent  and should be covered empirically. Thus, clindamycin is a common, effective agent for monotherapy. If  MRSA resistance to clindamycin is significant, trimethoprim–sulfamethoxazole can be used to address MRSA,  while clindamycin can be used to treat GAS and anaerobes. If they recur, 90%of recurrent PTAs develop  within 1 year of the initial infection with the majority occurring very shortly after the initial infection.  Therefore, many authors consider such recurrences an inadequately treated initial infection or simply a  continuation of the same infection. Although tonsillectomy, whether it is performed emergently or after the  initial infection has resolved, drastically reduces the rate of recurrence, PTAs have been known to occur after  the tonsils have been removed. The treatment of PTAs is surgical with adjunctive antibiotic therapy. Needle  aspiration is often the procedure of choice in select patients and is equally effective when performed  correctly. Antibiotic therapy in the absence of surgical drainage is not effective. Finally, while CT scanning is  not indicated in what otherwise appears to be an uncomplicated PTA, it is not possible to differentiate a PTA  from peritonsillar cellulitis based on physical examination alone which sometimes leads to unnecessary surgical treatment. ",
Bites from which of the following snakes would most likely result in respiratory failure and death? 2 ,Rattlesnake ,Cottonmouth (water moccasin) ,Coral snake ,Copperhead snake ,All of the above ,C,"Coral snakes are part of the Elapidae family, whereas the remaining snakes listed are part of the  Crotalidae family. Elapidae venom is neurotoxic, as several of the venom components block acetylcholine  transmission. In contrast to victims of pit viper envenomation, victims of coral snake envenomation usually  experience minimal pain and swelling at the bite site. However, signs of neurotoxicity may develop rapidly or  be delayed for up to 12 hours. Ptosis is frequently the initial sign of neurotoxicity and may be followed by  delirium, tremors, drowsiness, hypersalivation, and multiple cranial nerve abnormalities (dysarthria, diplopia,  2 and dysphagia). In severe envenomations, respiratory muscle paralysis occurs, leading to respiratory failure  and death",
"A first-time mother presents with her 13-day-old infant with a chief complaint of seizures. The infant had an  uncomplicated term delivery, is afebrile and had been well until the day of presentation. Which of the  following is the most likely cause of this infant’s seizures? ",Hypokalemia ,Hyponatremia ,Hypocalcemia ,Hypomagnesemia ,Maple syrup urine disease ,B,"In a well newborn beyond the immediate neonatal period, without fever, hyponatremia is the  most common cause of seizures. Water intoxication is the most common cause of hyponatremia during  infancy. Infants are unable to adequately concentrate urine so parents who dilute formula or give their  infants tap water put their infants at risk. Hypocalcemia is also a very common cause of seizures in the  neonate, so serum calcium levels should be checked. In fact, all infants have a slight decline in serum calcium levels with a nadir at 24 to 48 hours. Symptomatic hypocalcemia is more common in infants of diabetic mothers, preterm infants, or infants with a history of anoxic encephalopathy. Hypomagnesemia is not as common as hypocalcemia, but symptoms of hypomagnesemia mimic those of hypocalcemia and it is difficult to correct hypocalcemia if the serum magnesium is also low. Therefore, infants with seizures should have a comprehensive evaluation of their electrolytes. Hypokalemia is uncommon in infancy and does not typically cause seizures. Maple syrup urine disease is a rare disease resulting from the inability to catabolize branched chain amino acids. Infants typically present between 4 to 7 days of life with poor feeding, vomiting, or lethargy. Neurologic manifestations rapidly develop, such as alternating hypotonia and hypertonia, dystonia, seizures, and encephalopathy.",
Which of the following is true regarding candidiasis? ,Cutaneous candidiasis is the most common manifestation of infection. ,Candida is part of the normal oral flora in most humans. ,Thrush in otherwise healthy newborns is self-limited and does not require treatment. ,Candida is the most common cause of jock itch (tinea cruris). ,Maceration and lichenification with thick scale is the hallmark of cutaneous candidiasis. ,B,"Oral candidiasis is the most common form of candidal infection and Candida species colonize the  oropharynx of 80% of healthy infants by 3 to 4 weeks of age. Oral candidiasis is also an AIDS-defining  illness. Because Candida spp. are part of the normal flora of so many people, cultures are rarely useful.  Instead, diagnosis is based on clinical examination and the finding of white, curd-like exudates on the buccal  and gingival mucosa and less frequently on the tongue and soft palate. The exudates can be scraped away to  reveal an erythematous, mildly eroded, and painful mucosa underneath. Although the infection is frequently  self-limited, infants with thrush should be treated with oral nystatin suspension to hasten healing and  primarily to prevent problems with feeding (due to pain). Tinea cruris is most commonly caused by  Trichophyton spp., as with other dermatophyte infections. The hallmark of cutaneous candidiasis is the  presence of satellite papules and pustules beyond the margins of a patch of macerated, sometimes weeping  skin with scalloped borders. It typically occurs in intertriginous areas such as the groin, axilla, or underneath  pendulous skin folds.",
Which of the following is true regarding the focused assessment of sonography in trauma (FAST) scan for  evaluation of blunt abdominal trauma? ,Higher accuracy for penetrating trauma than blunt trauma ,Can distinguish between blood and urine ,Not associated with reductions in time to surgery or CT utilization,More accurate than any single element of history or physical examination,Sensitivity is much higher than specificity ,D,"The FAST examination has greater accuracy than any single element of the history or physical  examination in blunt abdominal trauma. It is not as accurate for penetrating trauma as it is for blunt.  Ultrasound cannot reliably distinguish between blood, urine, or other fluids (e.g., ascites). FAST has been  associated with significant operational improvements, including time to surgery, CT utilization, and  avoidable hospitalizations. Specificity tends to be higher than sensitivity, and blunt abdominal trauma  patients who appear ill despite a negative FAST examination should have serial FAST examinations or CT  imaging to fully evaluate the abdomen. ",
"A 26-year-old previously healthy male presents to the ED in January with a chief complaint of a 2-day history  of fever, cough, diffuse body aches, and general malaise. He reports no history of influenza vaccination. His  vital signs are P 110, BP 130/75, RR 18, SaO2 97% RA. Which of the following is true? ",Oseltamivir reduces the risk of serious complications of influenza ,Immunizing the patient with the influenza vaccine in the ED will hasten recovery ,Oseltamivir may cause nausea and vomiting ,Oseltamivir reduces spread of influenza to unaffected patients ,All of the above ,C,"The patient in this vignette has influenza, which tends to peak in winter. When it is started with inthe first 48 hours of illness, oseltamivir (Tamiflu) has been shown to reduce the duration of symptoms due to  2  influenza by about half a day. However, patients taking it have more nausea and vomiting. In effect, using  oseltamivir trades one category of symptoms for another. It has not been shown to reduce complications or  mortality from influenza, even among the elderly or chronically ill. Influenza vaccination does not hasten  recovery in patients with active influenza. ",
A 34-year-old male with a history of HIV presents with headache. Contrast CT scan of the brain is shown in the image. Which of the following is the most appropriate therapy? ,Surgical excision ,Mebendazole ,Sulfadiazine and pyrimethamine ,Methylprednisolone ,Clindamycin plus cefotaxime ,C,"The patient has a ring-enhancing lesion seen in the left parietal area on contrast CT scan of the  brain. In a patient with HIV, toxoplasmosis, due to the parasite Toxoplasma gondii, is the most likely cause.Treatment is with sulfadiazine, pyrimethamine, and adjunctive leucovorin. Corticosteroids may be used as  adjunctive therapy in severe cases. Surgical excision is not indicated in toxoplasmosis. Mebendazole is an  agent used to treat other parasitic infections. Clindamycin may be used to treat brain abscesses along with  surgical drainage. (Figure reprinted with permission from Silverberg M. Greenberg’s Text-Atlas of Emergency  Medicine. Lippincott Williams & Wilkins; 2004:999.) ",t1-26.png
Delayed sequence intubation (DSI) is best used for which of the following patients? ,"An elderly chronic obstructive pulmonary disease (COPD) patient with hypoxia, CO2 retention, and  excessive somnolence ",A 23-year-old trauma patient with hypoxia and a large hemothorax after a rollover motor vehicle collision (MVC) ,"An agitated asthmatic patient, who persistently pulls off his oxygen mask exclaiming he can’t breathe ",A 14-year-old comatose male with an intracranial hemorrhage after a biking injury, A middle-aged congestive heart failure (CHF) patient with hypoxia and severe hypertension ,C,"Delayed sequence intubation (DSI) is a strategy to more safely secure a definitive airway in  agitated, delirious patients whose agitation makes preoxygenation suboptimal or impossible. Historically,  rapid sequence intubation (RSI) was emergently applied to all patients in need of a definitive airway.  However, in hypoxic patients who resist preoxygenation efforts due to delirium or agitation, DSI offers an  opportunity to safely preoxygenate patients prior to administering paralytics in preparation for intubation. To  achieve this, serial doses of ketamine are used, typically starting at the low end of the scale, e.g., 1 mg/kg IV  bolus followed by serial 0.5 mg/kg boluses until dissociation is achieved. Ketamine is an ideal agent because  it doesn’t depress airway reflexes or respiratory drive. Once the patient is dissociated and more compliant,  preoxygenation can occur using a nonrebreather or a nasal cannula at 15 L/minute plus a noninvasive mask  attached to a ventilator to provide CPAP at 5 to 15 mm Hg. As summarized by its creator, Scott Weingart,  MD, another perspective is to think of DSI as procedural sedation, in which the procedure is effective preoxygenation.  Once the patient is adequately preoxygenated, a paralytic agent can be given and intubation can proceed.  Once dissociated, some patients experience such a profound improvement in their respiratory mechanics  that DSI will obviate the need for intubation altogether",
Which of the following is the most appropriate suture to be used for gaping intraoral lacerations involving  the mucosal surface?,6-0 nylon ,6-0 polyglactin 910 (Vicryl) ,4-0 nylon ,4-0 polyglactin 910 (Vicryl), 2-0 silk ,D,Intraoral lacerations are best repaired with absorbable sutures such as polyglactin 910 (Vicryl). Vicryl causes less tissue reactivity than silk and is preferred over nylon because it avoids the problem of a repeat visit for removal. Chromic gut is catgut that has been treated with chromium salts to  improve longevity and is also appropriate for mucosal laceration repair. Large intraoral lacerations should be  repaired primarily to prevent food particles from becoming entrapped and causing abscess formation and  cellulitis. Small intraoral lacerations should be left to heal by secondary intention. Antibiotics (penicillin or  clindamycin) may be given to patients who have through-and-through lacerations (through external skin and  intraoral mucosa). ,
